"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "XML", "TypeScript JSX", "CSS", "Markdown", "comment", "blank", "total"
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/NoteList/NoteList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 97, 0, 0, 11, 108
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/NoteList/NoteList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 1, 5, 45
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/Pagination/Pagination.module.css", "CSS", 0, 0, 0, 0, 0, 0, 43, 0, 0, 7, 50
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/Pagination/Pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/SearchBox/SearchBox.module.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/SearchBox/SearchBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/TagsMenu/TagsMenu.module.css", "CSS", 0, 0, 0, 0, 0, 0, 49, 0, 0, 8, 57
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/TagsMenu/TagsMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 4, 4, 46
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/components/TanStackProvider/TanStackProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/eslint.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/lib/api.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 19, 8, 89
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/lib/store/noteStore.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/next.config.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/package-lock.json", "JSON", 0, 5761, 0, 0, 0, 0, 0, 0, 0, 1, 5762
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/public/file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/public/globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/public/window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/tsconfig.json", "JSON with Comments", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"/Users/pablotheparrot/Desktop/GOIT/next03/08-zustand/types/note.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 5, 4, 22
"Total", "-", 115, 5798, 33, 12, 5, 822, 589, 23, 44, 230, 7671
